corpus	endpoint	A	T	P	C	B	D	S	Y	R	F	I	V	L	M	activated_dims
CDR	AU CDR v1.28 Common|GET /common/customer/detail	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Y,R
CDR	AU CDR v1.28 Common|GET /discovery/status	0	0	0	0	0	0	0	0	0	0	1	0	0	0	I
CDR	AU CDR v1.28 Common|GET /discovery/outages	0	0	0	0	0	0	0	0	0	0	1	0	0	0	I
PSD2	PSD2 Berlin Group|POST /v1/{payment-service}/{payment-product}	1	1	1	1	0	1	1	0	1	0	1	0	0	0	A,T,P,C,D,S,R,I
PSD2	PSD2 Berlin Group|GET /v1/{payment-service}/{payment-product}/{paymentId}	0	0	1	0	0	1	1	0	1	0	0	0	0	0	P,D,S,R
PSD2	PSD2 Berlin Group|DELETE /v1/{payment-service}/{payment-product}/{paymentId}	0	0	1	0	0	1	1	0	1	0	0	0	0	0	P,D,S,R
PSD2	PSD2 Berlin Group|GET /v1/{payment-service}/{payment-product}/{paymentId}/status	0	0	1	0	0	1	1	0	1	0	1	0	0	0	P,D,S,R,I
PSD2	PSD2 Berlin Group|GET /v1/bulk-payments/{payment-product}/{paymentId}/extended-status	0	1	1	0	0	1	0	0	1	0	1	0	0	0	T,P,D,R,I
PSD2	PSD2 Berlin Group|GET /v1/{payment-service}/{payment-product}/{paymentId}/authorisations	0	0	1	0	0	1	1	0	1	0	0	0	0	0	P,D,S,R
PSD2	PSD2 Berlin Group|POST /v1/{payment-service}/{payment-product}/{paymentId}/authorisations	1	1	1	1	0	1	1	0	1	0	1	1	0	0	A,T,P,C,D,S,R,I,V
PSD2	PSD2 Berlin Group|GET /v1/{payment-service}/{payment-product}/{paymentId}/authorisations/{authorisationId}	0	0	1	0	0	1	1	0	1	0	1	0	0	0	P,D,S,R,I
PSD2	PSD2 Berlin Group|PUT /v1/{payment-service}/{payment-product}/{paymentId}/authorisations/{authorisationId}	1	0	1	1	0	1	1	0	1	0	0	0	0	0	A,P,C,D,S,R
PSD2	PSD2 Berlin Group|GET /v1/{payment-service}/{payment-product}/{paymentId}/cancellation-authorisations	0	0	1	0	0	1	1	0	1	0	0	0	0	0	P,D,S,R
PSD2	PSD2 Berlin Group|POST /v1/{payment-service}/{payment-product}/{paymentId}/cancellation-authorisations	1	1	1	1	0	1	1	0	1	0	1	1	0	0	A,T,P,C,D,S,R,I,V
PSD2	PSD2 Berlin Group|GET /v1/{payment-service}/{payment-product}/{paymentId}/cancellation-authorisations/{authorisationId}	0	0	1	0	0	1	1	0	1	0	1	0	0	0	P,D,S,R,I
PSD2	PSD2 Berlin Group|PUT /v1/{payment-service}/{payment-product}/{paymentId}/cancellation-authorisations/{authorisationId}	1	0	1	1	0	1	1	0	1	0	0	0	0	0	A,P,C,D,S,R
PSD2	PSD2 Berlin Group|GET /v1/accounts	1	0	0	1	0	1	0	0	1	0	0	0	0	0	A,C,D,R
PSD2	PSD2 Berlin Group|GET /v1/accounts/{account-id}	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|GET /v1/accounts/{account-id}/balances	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|GET /v1/accounts/{account-id}/transactions	1	1	0	1	0	1	1	0	0	0	1	0	0	0	A,T,C,D,S,I
